anio;mes;dia_mes;dia_semana;semana_anio;trimestre;es_fin_semana;es_feriado;temperatura_max;temperatura_min;temperatura_promedio;precipitacion;condicion_clima_Lluvioso;condicion_clima_Nublado;condicion_clima_Soleado;es_dia_lluvia;lluvia_categorica;total_pacientes;pacientes_rayos_x;pacientes_mamografia;pacientes_ecografia;pacientes_laboratorio;pacientes_densitometria
2021;7;2;4;26;3;0;0;28.9;17.8;23.5;0.0;0;0;1;0;0;379;2;2;0;151;0
2021;7;3;5;26;3;1;0;30.4;19.3;24.6;0.0;0;0;1;0;0;402;3;1;1;197;1
2021;7;4;6;26;3;1;0;29.6;19.6;24.3;0.0;0;0;1;0;0;88;1;0;0;43;0
2021;7;5;0;27;3;0;0;30.7;20.0;25.1;0.0;0;0;1;0;0;530;2;2;1;230;1
2021;7;6;1;27;3;0;0;30.7;20.4;25.7;0.0;0;0;1;0;0;450;6;2;4;178;0
2021;7;7;2;27;3;0;0;31.1;20.4;25.7;0.0;0;0;1;0;0;505;1;0;3;258;0
2021;7;8;3;27;3;0;0;31.1;21.5;26.0;0.3;0;0;1;0;0;407;0;1;3;192;0
2021;7;9;4;27;3;0;0;30.4;21.9;25.8;1.0;0;1;0;0;0;426;1;0;4;199;0
2021;7;10;5;27;3;1;0;30.4;22.6;25.8;8.8;0;1;0;0;0;284;2;1;3;119;1
2021;7;11;6;27;3;1;0;29.3;22.2;25.6;0.0;0;1;0;0;0;54;0;0;0;27;0
2021;7;12;0;28;3;0;0;30.0;22.6;25.5;5.8;0;1;0;0;0;552;2;1;4;254;4
2021;7;13;1;28;3;0;0;31.1;21.9;26.2;0.0;0;1;0;0;0;524;4;1;4;254;0
2021;7;14;2;28;3;0;0;32.6;22.2;27.3;0.3;0;0;1;0;0;507;1;1;2;238;1
2021;7;15;3;28;3;0;0;32.2;22.2;26.9;0.0;0;0;1;0;0;521;3;2;2;249;1
2021;7;16;4;28;3;0;0;31.9;22.6;27.2;3.3;0;0;1;0;0;441;2;1;4;210;1
2021;7;17;5;28;3;1;0;31.5;23.7;27.5;2.5;0;1;0;0;0;406;2;0;5;229;0
2021;7;18;6;28;3;1;0;28.9;23.3;25.4;5.8;0;1;0;0;0;52;0;0;0;25;0
2021;7;19;0;29;3;0;0;23.0;19.6;22.0;6.0;0;1;0;0;0;580;4;1;2;259;3
2021;7;20;1;29;3;0;0;28.5;19.3;23.5;0.0;0;0;1;0;0;412;0;2;2;170;1
2021;7;21;2;29;3;0;0;30.0;20.4;24.9;2.3;0;0;1;0;0;493;14;2;2;223;1
2021;7;22;3;29;3;0;0;30.7;20.7;25.7;0.0;0;0;1;0;0;529;4;3;6;293;0
2021;7;23;4;29;3;0;0;31.5;20.0;26.1;0.0;0;0;1;0;0;418;4;2;5;179;0
2021;7;24;5;29;3;1;0;31.9;21.1;26.8;2.5;0;0;1;0;0;313;4;0;3;151;0
2021;7;25;6;29;3;1;0;31.9;21.9;26.5;1.3;0;0;1;0;0;74;0;0;0;45;0
2021;7;26;0;30;3;0;0;33.3;22.6;27.0;0.0;0;0;1;0;0;603;2;3;3;262;1
2021;7;27;1;30;3;0;0;33.0;22.6;27.4;0.0;0;1;0;0;0;372;4;0;2;176;1
2021;7;28;2;30;3;0;1;31.5;23.0;26.5;14.3;0;1;0;0;0;120;0;0;0;81;0
2021;7;29;3;30;3;0;1;21.9;18.5;20.1;1.3;0;1;0;0;0;58;0;0;0;33;0
2021;7;30;4;30;3;0;0;25.2;18.1;21.3;2.0;0;1;0;0;0;418;1;2;3;152;2
2021;7;31;5;30;3;1;0;28.5;18.5;23.5;0.0;0;0;1;0;0;319;1;0;2;174;0
2021;8;1;6;30;3;1;0;27.0;20.7;24.3;0.0;0;1;0;0;0;87;0;0;0;51;0
2021;8;2;0;31;3;0;0;31.1;21.5;25.6;0.0;0;0;1;0;0;558;1;5;4;231;2
2021;8;3;1;31;3;0;0;31.1;20.7;25.2;0.0;0;0;1;0;0;515;5;2;6;196;0
2021;8;4;2;31;3;0;0;31.9;20.7;25.8;0.8;0;0;1;0;0;457;2;3;7;186;0
2021;8;5;3;31;3;0;0;31.9;20.4;25.7;0.0;0;0;1;0;0;569;2;3;6;271;1
2021;8;6;4;31;3;0;0;32.2;20.7;25.9;2.3;0;0;1;0;0;462;0;1;5;196;2
2021;8;7;5;31;3;1;0;32.6;21.5;26.8;0.0;0;0;1;0;0;320;3;1;3;153;0
2021;8;8;6;31;3;1;0;32.6;21.9;27.2;0.0;0;0;1;0;0;89;1;0;0;51;0
2021;8;9;0;32;3;0;0;33.3;23.0;27.6;0.0;0;0;1;0;0;612;0;3;4;303;0
2021;8;10;1;32;3;0;0;32.2;23.7;27.6;1.5;0;0;1;0;0;483;2;2;2;236;0
2021;8;11;2;32;3;0;0;29.6;23.3;26.4;21.3;1;0;0;1;1;506;1;0;1;258;0
2021;8;12;3;32;3;0;0;31.1;24.1;26.7;0.0;0;1;0;0;0;391;1;1;3;166;2
2021;8;13;4;32;3;0;0;30.7;23.0;26.5;1.3;0;1;0;0;0;322;3;2;3;125;1
2021;8;14;5;32;3;1;0;31.9;23.0;27.0;0.0;0;1;0;0;0;390;0;2;2;183;0
2021;8;15;6;32;3;1;0;31.5;23.3;27.4;0.0;0;1;0;0;0;93;0;0;1;58;0
2021;8;16;0;33;3;0;0;33.7;23.3;27.7;0.0;0;1;0;0;0;545;1;0;6;216;0
2021;8;17;1;33;3;0;0;34.1;23.7;28.2;0.0;0;0;1;0;0;514;0;2;0;264;1
2021;8;18;2;33;3;0;0;34.1;24.4;28.6;0.0;0;0;1;0;0;543;4;5;6;244;4
2021;8;19;3;33;3;0;0;33.3;24.1;27.8;0.3;0;1;0;0;0;358;1;2;7;122;0
2021;8;20;4;33;3;0;0;34.4;24.4;28.8;0.0;0;1;0;0;0;393;2;4;4;180;1
2021;8;21;5;33;3;1;0;30.4;23.3;27.1;0.3;0;1;0;0;0;348;3;0;3;171;0
2021;8;22;6;33;3;1;0;33.7;24.1;28.2;0.0;0;0;1;0;0;75;0;0;0;41;0
2021;8;23;0;34;3;0;0;35.2;24.1;29.1;0.0;0;1;0;0;0;507;5;1;3;198;1
2021;8;24;1;34;3;0;0;36.3;24.8;29.7;0.0;0;0;1;0;0;525;1;2;4;242;2
2021;8;25;2;34;3;0;0;35.2;25.6;30.0;0.0;0;1;0;0;0;448;2;1;4;177;2
2021;8;26;3;34;3;0;0;35.9;25.9;29.5;0.5;0;1;0;0;0;463;0;2;2;182;1
2021;8;27;4;34;3;0;0;34.8;25.2;29.7;0.3;0;0;1;0;0;428;2;1;0;191;1
2021;8;28;5;34;3;1;0;27.4;23.0;25.3;19.0;0;1;0;0;0;253;0;0;0;136;0
2021;8;29;6;34;3;1;0;31.5;23.3;26.3;0.0;0;1;0;0;0;87;0;0;0;54;0
